precio calidad
74686.5613572299 11.3004311992867
89832.3024623096 12.1322665110365
75209.3830518425 8.55013025423744
29274.8862691224 4.95897397178145
35600.7293984294 7.5885023042731
56896.0685841739 7.80590536901736
36282.8192301095 10.1648728992009
67267.9391875863 10.1441002939895
49911.0455624759 10.1360621260508
31303.8498908281 6.90478958358832
27692.4752444029 1.94590924556243
76229.912918061 11.2305415476531
26207.013875246 3.51594059729099
38791.7073816061 6.73064733511303
96760.0127868354 10.1350519931889
83608.0103926361 9.10362740232398
50925.3161214292 7.0557523162749
98101.3317964971 10.4901849284659
27623.1937669218 3.74146205185923
66552.1065331995 9.94795150452882
57785.1878851652 6.84657554972122
44187.7006925642 9.16969068145705
28824.1137750447 7.27761050859721
65740.7146319747 7.34141190240429
83259.3077979982 8.24803825288193
71060.1735301316 9.90511632617056
44904.5225605369 6.93161399664321
75417.4212366343 10.3363243020862
73969.2340232432 9.45098280404562
80656.2193855643 12.5337677004694
87300.4760593176 10.7912653163859
39236.3391816616 3.19580573342383
74380.8524310589 11.247992770713
25635.4882754385 0.42469221645733
71724.8702049255 9.59806377988994
28169.7373837233 5.06501921339332
96460.9507098794 11.7531567277918
79858.5218563676 10.645955689987
32018.1369967759 8.53167962256327
44610.0671589375 5.85246797280633
92634.4892755151 8.43980083718689
34241.8923228979 8.26706419553504
